Queue ID,Project Name,Interconnecting Entity,County,State,Interconnection Location,Transmission Owner,Generation Type,Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Queue Date,Status,Proposed Completion Date,Withdrawn Date,Withdrawal Comment,Actual Completion Date,Type-1,Type-2,Type-3,Fuel-1,Fuel-2,Fuel-3,MW-1,MW-2,MW-3,Interconnection Request Receive Date,Interconnection Agreement Status,Study Process,Proposed On-line Date (as filed with IR),System Impact Study or Phase I Cluster Study,Facilities Study (FAS) or Phase II Cluster Study,Optional Study (OS),"Full Capacity, Partial or Energy Only (FC/P/EO)",Off-Peak Deliverability and Economic Only,Feasibility Study or Supplemental Review
22,MONTEZUMA (HIGH WINDS III),,SOLANO,CA,Birds Landing 230 kV,PGAE,Wind Turbine + Storage,38.0,,,2003-11-18 08:00:00,ACTIVE,2024-04-01 07:00:00,,,,Wind Turbine,Storage,,Wind Turbine,Battery,,38.0,38.0,,2003-11-18 00:00:00,Executed,AMEND 39,2005-06-30 07:00:00,Complete,Complete,,Partial Capacity,Off-Peak Deliverability,
32,TULE WIND,,SAN DIEGO,CA,Boulevard East Substation 138 kV,SDGE,Wind Turbine + Storage,193.8,,,2004-05-24 07:00:00,ACTIVE,2030-10-31 07:00:00,,,,Wind Turbine,Storage,,Wind Turbine,Battery,,127.6,131.6,,2004-05-12 00:00:00,Executed,Serial LGIP,2007-09-01 07:00:00,Complete,Complete,,Partial Capacity,Off-Peak Deliverability,Waived
54,MIDWAY PEAKING,,FRESNO,CA,Panoche Substation,PGAE,Gas Turbine + Storage,119.9,,,2005-01-12 08:00:00,ACTIVE,2027-06-30 07:00:00,,,,Gas Turbine,Storage,,Natural Gas,Battery,,119.9,119.9,,2005-01-12 00:00:00,Executed,Serial LGIP,2008-06-01 07:00:00,Complete,Re-Study,,Full Capacity,Off-Peak Deliverability,Waived
61,FRESNO COGENERATION EXPANSION PROJECT,,FRESNO,CA,Helm-Kerman 70 kV Line,PGAE,Steam Turbine + Storage,73.27,,,2005-03-30 08:00:00,ACTIVE,2023-02-28 08:00:00,,,,Steam Turbine,Storage,,Natural Gas,Battery,,73.2699966430664,18.5,,2005-03-28 00:00:00,Executed,AMEND 39,2006-05-31 07:00:00,Complete,Complete,,Full Capacity,Off-Peak Deliverability,
72,LAKE ELSINORE ADVANCED PUMPED STORAGE PROJECT,,RIVERSIDE,CA,Proposed Lee Lake Substation 500 kV,SDGE,Storage,500.0,,,2005-06-21 07:00:00,ACTIVE,2028-12-31 08:00:00,,,,Storage,,,Pumped-Storage hydro,,,500.0,,,2005-04-26 00:00:00,Executed,Serial LGIP,2008-12-31 08:00:00,Complete,Re-Study,,Full Capacity,,Waived
81,BOTTLE ROCK POWER,,LAKE,CA,Geysers #17-Fulton 230 kV Line,PGAE,Steam Turbine + Storage,52.01,,,2005-09-13 07:00:00,ACTIVE,2027-11-30 08:00:00,,,,Steam Turbine,Storage,,Geothermal,Battery,,9.435,47.4465,,2005-09-13 00:00:00,Executed,Serial LGIP,2006-09-01 07:00:00,Complete,Complete,,Energy Only,Off-Peak Deliverability,
96,CPC WEST,,KERN,CA,Tehachapi Conceptual Substation #1,SCE,Wind Turbine + Storage + Storage,600.0,,,2006-03-01 08:00:00,ACTIVE,2026-07-05 07:00:00,,,,Wind Turbine,Storage,Storage,Wind Turbine,Battery,Battery,600.0,150.0,150.0,2006-02-15 00:00:00,Executed,Serial LGIP,2009-12-31 08:00:00,Complete,,,Partial Capacity,Off-Peak Deliverability,Waived
100,WINDSTAR I ALTERNATE,,KERN,CA,Vincent Substation 230kV,SCE,Wind Turbine + Storage,120.0,,,2006-04-05 07:00:00,ACTIVE,2030-10-15 07:00:00,,,,Wind Turbine,Storage,,Wind Turbine,Battery,,120.0,120.0,,2006-04-05 00:00:00,Executed,Serial LGIP,2007-12-31 08:00:00,Complete,,,Full Capacity,Off-Peak Deliverability,Waived
124,SILVER RIDGE MOUNT SIGNAL,,IMPERIAL,CA,Imperial Valley Substation 230 kV,SDGE,Photovoltaic + Storage,600.0,,,2006-08-22 07:00:00,ACTIVE,2027-06-01 07:00:00,,,,Photovoltaic,Storage,,Solar,Battery,,600.0,150.0,,2006-08-22 00:00:00,Executed,Serial LGIP,2011-03-01 08:00:00,Complete,Complete,,Partial Capacity,Off-Peak Deliverability,Waived
138,SANDSTORM WIND POWER ,,RIVERSIDE,CA,Devers Substation 220 kV ,SCE,Wind Turbine + Storage,150.0,,,2006-10-23 07:00:00,ACTIVE,2030-02-01 08:00:00,,,,Wind Turbine,Storage,,Wind Turbine,Battery,,60.0,90.0,,2006-10-23 00:00:00,Executed,Serial LGIP,2008-12-31 08:00:00,Complete,Complete,,Partial Capacity,Off-Peak Deliverability,Waived
222,MONTEZUMA II,,SOLANO,CA,Birds Landing 230 kV,PGAE,Wind Turbine + Storage,78.0,,,2007-05-23 07:00:00,ACTIVE,2012-01-29 08:00:00,,,,Wind Turbine,Storage,,Wind Turbine,Battery,,78.0,54.0,,2007-05-23 00:00:00,Executed,TC,2010-12-31 08:00:00,Complete,Complete,,Partial Capacity,Off-Peak Deliverability,
268,TRACY COMBINED-CYCLE POWER PLANT,,SAN JOAQUIN,CA,Tesla-Manteca 115kV line via Schulte Switchyard,PGAE,Steam Turbine + Storage,145.0,,,2007-10-24 07:00:00,ACTIVE,2027-04-28 07:00:00,,,,Steam Turbine,Storage,,Natural Gas,Battery,,145.0,40.0,,2007-10-24 00:00:00,Executed,Serial LGIP,2012-06-01 07:00:00,Complete,Complete,,Full Capacity,Off-Peak Deliverability,Waived
272,AMERICAN KINGS SOLAR,,KINGS,CA,Henrietta 70 kV,PGAE,Photovoltaic + Storage,123.0,,,2007-11-01 07:00:00,ACTIVE,2025-12-30 08:00:00,,,,Photovoltaic,Storage,,Solar,Battery,,123.0,73.8,,2007-11-01 00:00:00,Executed,TC,2012-06-01 07:00:00,Complete,Complete,,Full Capacity,Off-Peak Deliverability,
297,ALTA VISTA SUNTOWER GENERATING STATION,,LOS ANGELES,CA,Neenach-Bailey 66kV line,SCE,Steam Turbine + Storage,66.0,,,2008-01-18 08:00:00,ACTIVE,2027-12-11 08:00:00,,,,Steam Turbine,Storage,,Solar,Battery,,66.0,66.0,,2008-01-18 00:00:00,Executed,TC,2009-12-01 08:00:00,Complete,Complete,,Full Capacity,Off-Peak Deliverability,
378,LOS ESTEROS CRITICAL ENERGY FACILITY EXPANSION,,SANTA CLARA,CA,Los Esteros 115 kV,PGAE,Combined Cycle + Storage,120.0,,,2008-05-28 07:00:00,ACTIVE,2023-09-01 07:00:00,,,,Combined Cycle,Storage,,Natural Gas,Battery,,120.0,3.0,,2008-05-28 00:00:00,Executed,TC,2011-06-01 07:00:00,Complete,Complete,,Full Capacity,Off-Peak Deliverability,
493,OCOTILLO EXPRESS,,IMPERIAL,CA,Ocotillo Switchyard 500 kV ,SDGE,Wind Turbine + Storage,265.44,,,2009-07-31 07:00:00,ACTIVE,2030-05-31 07:00:00,,,,Wind Turbine,Storage,,Wind Turbine,Battery,,265.44,238.989,,2009-07-16 00:00:00,Executed,C01,2013-12-31 08:00:00,Complete,Complete,,Partial Capacity,Off-Peak Deliverability,
506,ROSAMOND WEST SOLAR,,KERN,CA,Whirlwind Substation 230kV,SCE,Photovoltaic + Storage,299.6,,,2009-07-31 07:00:00,ACTIVE,2029-03-31 07:00:00,,,,Photovoltaic,Storage,,Solar,Battery,,299.6,255.7,,2009-07-30 00:00:00,Executed,C01,2015-07-31 07:00:00,Complete,Complete,,Partial Capacity,Off-Peak Deliverability,
539,CROW CREEK SOLAR 1 (FKA: FRONTIER SOLAR 1) (FKA AS SCATEC WESTSIDE SOLAR RANCH I AND STANISLAUS PV - PHASE 1),,STANISLAUS,CA,Salado-Newman #1 60kV Line,PGAE,Photovoltaic + Storage,20.0,,,2009-12-18 08:00:00,ACTIVE,2025-04-01 07:00:00,,,,Photovoltaic,Storage,,Solar,Battery,,20.0,20.0,,2009-12-18 00:00:00,Executed,SGIP,2012-10-31 07:00:00,Facilities Study,SGIA,,Energy Only,Off-Peak Deliverability,
625,KETTLEMAN SOLAR PROJECT (FKA KETTLEMAN SOLAR FARM),,KINGS,CA,Henrietta-Tulare Lake 70 kV,PGAE,Photovoltaic + Storage,20.0,,,2010-05-14 07:00:00,ACTIVE,2025-04-01 07:00:00,,,,Photovoltaic,Storage,,Solar,Battery,,20.0,20.0,,2010-05-14 00:00:00,Executed,SGIP,2011-12-31 08:00:00,Facilities Study,SGIA,,Energy Only,Off-Peak Deliverability,
643R,NORTH ROSAMOND SOLAR,,KERN,CA,Whirlwind Sub 230 kV Bus,SCE,Photovoltaic + Storage,153.0,,,2010-07-31 07:00:00,ACTIVE,2026-06-01 07:00:00,,,,Photovoltaic,Storage,,Solar,Battery,,153.0,100.0,,2010-07-30 00:00:00,Executed,C03,2013-06-01 07:00:00,Complete,Complete,,Partial Capacity,Off-Peak Deliverability,
653B,PUMPJACK SOLAR I (AKA PIONEER SOLAR I),,KERN,CA,Belridge - Temblor 115 kV,PGAE,Photovoltaic + Storage,20.0,,,2010-09-29 07:00:00,ACTIVE,2027-06-01 07:00:00,,,,Photovoltaic,Storage,,Solar,Battery,,20.0,20.0,,2010-09-29 00:00:00,Executed,SGIP-TC,2013-05-01 07:00:00,Complete,Complete,,Partial Capacity,Off-Peak Deliverability,
678,EXCELSIOR SOLAR (FKA: BURFORD FIVE POINTS),,FRESNO,CA,Panoche-Schindler #1 and #2 115 kV Line,PGAE,Photovoltaic + Storage,60.0,,,2011-03-31 07:00:00,ACTIVE,2024-12-20 08:00:00,,,,Photovoltaic,Storage,,Solar,Battery,,60.0,60.0,,2011-03-31 00:00:00,Executed,C04,2013-09-05 07:00:00,Complete,Complete,,Partial Capacity,Off-Peak Deliverability,
720,LASSEN LODGE HYDROELECTRIC,,TEHAMA,CA,Vota-South 60 kV,PGAE,Hydro,4.5,,,2011-03-31 07:00:00,ACTIVE,2027-10-15 07:00:00,,,,Hydro,,,Water,,,4.5,,,2011-03-31 00:00:00,Executed,C04,2012-12-15 08:00:00,Complete,Complete,,Energy Only,,
744,REDWOOD SOLAR FARM,,KERN,CA,Lamont 115 KV,PGAE,Photovoltaic,90.0,,,2011-03-31 07:00:00,ACTIVE,2024-07-01 07:00:00,,,,Photovoltaic,,,Solar,,,90.0,,,2011-03-31 00:00:00,Executed,C04,2014-07-01 07:00:00,Complete,Complete,,Partial Capacity,Off-Peak Deliverability,
768,BIG SKY SOLAR,,LOS ANGELES,CA,Antelope Substation 230kV bus,SCE,Photovoltaic + Storage,320.0,,,2011-03-31 07:00:00,ACTIVE,2023-01-31 08:00:00,,,,Photovoltaic,Storage,,Solar,Battery,,320.0,156.02,,2011-03-31 00:00:00,Executed,C04,2014-12-31 08:00:00,Complete,Complete,,Full Capacity,Off-Peak Deliverability,
779,WRIGHT SOLAR,,MERCED,CA,Los Banos-Panoche #1 230kV Line,PGAE,Photovoltaic + Storage,200.0,,,2011-03-31 07:00:00,ACTIVE,2026-10-21 07:00:00,,,,Photovoltaic,Storage,,Solar,Battery,,200.0,80.0,,2011-03-31 00:00:00,Executed,C04,2014-01-06 08:00:00,Complete,Complete,,Partial Capacity,Off-Peak Deliverability,
900,RIO BRAVO SOLAR 1,,KERN,CA,Midway Temblor 115 kV line,PGAE,Photovoltaic + Storage,20.0,,,2012-04-02 07:00:00,ACTIVE,2027-06-30 07:00:00,,,,Photovoltaic,Storage,,Solar,Battery,,20.0,20.0,,2012-04-02 00:00:00,Executed,C05,2014-12-20 08:00:00,Complete,Complete,,Partial Capacity,Off-Peak Deliverability,
972,RIO BRAVO SOLAR 2,,KERN,CA,Midway-Temblor 115kV line,PGAE,Photovoltaic + Storage,20.0,,,2013-04-30 07:00:00,ACTIVE,2027-07-30 07:00:00,,,,Photovoltaic,Storage,,Solar,Battery,,20.0,20.0,,2013-04-30 00:00:00,Executed,C06,2016-12-31 08:00:00,Complete,Complete,,Partial Capacity,Off-Peak Deliverability,
993,SUNSHINE VALLEY SOLAR 1,,NYE,NV,Valley Substation 138 kV,VEA,Photovoltaic + Storage,50.0,,,2013-04-30 07:00:00,ACTIVE,2026-12-31 08:00:00,,,,Photovoltaic,Storage,,Solar,Battery,,50.0,40.0,,2013-04-30 00:00:00,Executed,C06,2016-12-31 08:00:00,Complete,Complete,,Partial Capacity,Off-Peak Deliverability,
1002,LASSEN LODGE HYDROELECTRIC 2,,TEHAMA,CA,Volta-South 60 kV Line,PGAE,Hydro,0.5,,,2013-04-30 07:00:00,ACTIVE,2027-10-15 07:00:00,,,,Hydro,,,Water,,,0.5,,,2013-05-01 00:00:00,Executed,C06,2015-11-15 08:00:00,Complete,Complete,,Energy Only,,
1028,LITTLE BEAR SOLAR 1,,FRESNO,CA,Mendota Substation 115 kV,PGAE,Photovoltaic + Storage,20.0,,,2014-04-30 07:00:00,ACTIVE,2029-02-01 08:00:00,,,,Photovoltaic,Storage,,Solar,Battery,,20.0,20.0,,2014-04-30 00:00:00,Executed,C07,2016-12-01 08:00:00,Complete,Complete,,Full Capacity,Off-Peak Deliverability,
1029,LITTLE BEAR SOLAR 2,,FRESNO,CA,Mendota Substation 115 kV,PGAE,Photovoltaic + Storage,20.0,,,2014-04-30 07:00:00,ACTIVE,2029-02-01 08:00:00,,,,Photovoltaic,Storage,,Solar,Battery,,20.0,20.0,,2014-04-30 00:00:00,Executed,C07,2018-09-01 07:00:00,Complete,Complete,,Full Capacity,Off-Peak Deliverability,
1045,CHULA VISTA ENERGY CENTER 2,,SAN DIEGO,CA,Otay Substation 69 kV,SDGE,Storage,49.7,,,2014-04-30 07:00:00,ACTIVE,2026-04-28 07:00:00,,,,Storage,,,Battery,,,49.7,,,2014-04-30 00:00:00,Executed,C07,2019-11-01 07:00:00,Complete,Complete,,Full Capacity,,
1047,NORTH JOHNSON ENERGY CENTER,,SAN DIEGO,CA,El Cajon Substation 69 kV,SDGE,Storage,50.0,,,2014-04-30 07:00:00,ACTIVE,2026-04-01 07:00:00,,,,Storage,,,Battery,,,50.0,,,2014-04-30 00:00:00,Executed,C07,2019-11-01 07:00:00,Complete,Complete,,Full Capacity,,
1048,ESCONDIDO ENERGY CENTER 2,,SAN DIEGO,CA,Escondido Substation 69 kV,SDGE,Storage,33.0,,,2014-04-30 07:00:00,ACTIVE,2030-06-01 07:00:00,,,,Storage,,,Battery,,,33.0,,,2014-04-30 00:00:00,Executed,C07,2019-11-01 07:00:00,Complete,Complete,,Full Capacity,,
1062,WHITE WING RANCH SOLAR,,YUMA,AZ,Hoodoo Wash Switchyard 500 kV,SDGE,Photovoltaic + Storage,200.0,,,2014-04-30 07:00:00,ACTIVE,2026-06-01 07:00:00,,,,Photovoltaic,Storage,,Solar,Battery,,200.0,200.0,,2014-04-30 00:00:00,Executed,C07,2018-12-31 08:00:00,Complete,Complete,,Energy Only,Off-Peak Deliverability,
1064,ARES NEVADA ,,NYE,NV,Gamebird Substation 230 kV,GLW,Storage,44.0,,,2014-04-30 07:00:00,ACTIVE,2027-01-08 08:00:00,,,,Storage,,,Gravity via Rail,,,44.0,,,2014-04-30 00:00:00,Executed,C07,2017-01-01 08:00:00,Complete,Complete,,Energy Only,,
1074,GASKELL WEST,,KERN,CA,Whirlwind Substation 220 kV,SCE,Photovoltaic + Storage,125.0,,,2014-04-30 07:00:00,ACTIVE,2026-12-02 08:00:00,,,,Photovoltaic,Storage,,Solar,Battery,,125.0,61.62,,2014-04-30 00:00:00,Executed,C07,2016-06-30 07:00:00,Complete,Complete,,Full Capacity,Off-Peak Deliverability,
1076,WILLOW SPRINGS SOLAR 3,,KERN,CA,Whirlwind Substation 230 kV,SCE,Storage,50.0,,,2014-04-30 07:00:00,ACTIVE,2026-06-01 07:00:00,,,,Storage,,,Battery,,,50.0,,,2014-04-30 00:00:00,Executed,C07,2017-06-30 07:00:00,Complete,Complete,,Full Capacity,Off-Peak Deliverability,
1096,ALTAMONT MIDWAY LTD,,ALAMEDA,CA,Altamont Midway 230 kV ,PGAE,Wind Turbine,5.0,,,2015-04-13 07:00:00,ACTIVE,2027-04-28 07:00:00,,,,Wind Turbine,,,Wind Turbine,,,5.0,,,2015-02-24 00:00:00,Executed,FT,2015-08-31 07:00:00,,,,Energy Only,Off-Peak Deliverability,
1127,LITTLE BEAR 3,,FRESNO,CA,Mendota Substation 115kV,PGAE,Photovoltaic + Storage,20.0,,,2015-04-30 07:00:00,ACTIVE,2029-02-02 08:00:00,,,,Photovoltaic,Storage,,Solar,Battery,,20.44,20.0,,2015-04-28 00:00:00,Executed,C08,2020-08-01 07:00:00,Complete,Complete,,Full Capacity,Off-Peak Deliverability,
1128,LITTLE BEAR 4,,FRESNO,CA,Mendota Substation 115kV,PGAE,Photovoltaic + Storage,100.0,,,2015-04-30 07:00:00,ACTIVE,2029-02-02 08:00:00,,,,Photovoltaic,Storage,,Solar,Battery,,103.09,100.0,,2015-04-28 00:00:00,Executed,C08,2020-12-01 08:00:00,Complete,Complete,,Full Capacity,Off-Peak Deliverability,
1129,LUNA VALLEY SOLAR,,FRESNO,CA,Tranquility 230 kV,PGAE,Photovoltaic + Storage,200.0,,,2015-04-30 07:00:00,ACTIVE,2028-12-29 08:00:00,,,,Photovoltaic,Storage,,Solar,Battery,,204.0,168.5,,2015-04-30 00:00:00,Executed,C08,2018-12-31 08:00:00,Complete,Complete,,Partial Capacity,Off-Peak Deliverability,
1135,SCARLET,,FRESNO,CA,Tranquility 230 kV,PGAE,Photovoltaic + Storage,400.0,,,2015-04-30 07:00:00,ACTIVE,2025-12-23 08:00:00,,,,Photovoltaic,Storage,,Solar,Battery,,400.0,400.0,,2015-04-29 00:00:00,Executed,C08,2018-12-31 08:00:00,Complete,Complete,,Full Capacity,Off-Peak Deliverability,
1143,LAKE ALPAUGH BATTERY STORAGE,,TULARE,CA,Corcoran-Olive 115 kV Line,PGAE,Storage,10.0,,,2015-04-30 07:00:00,ACTIVE,2026-02-15 08:00:00,,,,Storage,,,Battery,,,10.0,,,2015-04-29 00:00:00,Executed,C08,2017-12-31 08:00:00,Complete,Complete,,Full Capacity,,
1166,BIG ROCK SOLAR FARM,,IMPERIAL,CA,Imperial Valley Substation 230 kV,SDGE,Storage,200.0,,,2015-04-30 07:00:00,ACTIVE,2025-04-30 07:00:00,,,,Storage,,,Battery,,,200.0,,,2015-04-30 00:00:00,Executed,C08,2020-06-01 07:00:00,Complete,Complete,,Partial Capacity,Off-Peak Deliverability,
1169,FALLBROOK ENERGY STORAGE,,SAN DIEGO,CA,Avocado Substation 69 kV,SDGE,Storage,69.6,,,2015-04-30 07:00:00,ACTIVE,2026-03-06 08:00:00,,,,Storage,,,Battery,,,69.6,,,2015-04-30 00:00:00,Executed,C08,2020-02-01 08:00:00,Complete,Complete,,Full Capacity,,
1175,LECONTE ENERGY STORAGE,,IMPERIAL,CA,Imperial Valley Substation 230 kV,SDGE,Storage,125.0,,,2015-04-30 07:00:00,ACTIVE,2026-06-01 07:00:00,,,,Storage,,,Battery,,,125.0,,,2015-04-29 00:00:00,Executed,C08,2018-09-01 07:00:00,Complete,Complete,,Partial Capacity,,
1204,ARATINA SOLAR CENTER 1,,SAN BERNARDINO,CA,Kramer Substation 230kV,SCE,Photovoltaic + Storage,200.0,,,2015-04-30 07:00:00,ACTIVE,2026-06-01 07:00:00,,,,Photovoltaic,Storage,,Solar,Battery,,200.0,200.0,,2015-04-30 00:00:00,Executed,C08,2020-06-01 07:00:00,Complete,Complete,,Partial Capacity,Off-Peak Deliverability,
1207,SIENNA SOLAR FARM,,SAN BERNARDINO,CA,Calcite Substation 230kV,SCE,Photovoltaic + Storage,200.0,,,2015-04-30 07:00:00,ACTIVE,2027-01-28 08:00:00,,,,Photovoltaic,Storage,,Solar,Battery,,200.0,200.0,,2015-04-30 00:00:00,Executed,C08,2020-06-01 07:00:00,Complete,Complete,,Partial Capacity,Off-Peak Deliverability,
1208,ANTELOPE SOLAR 2,,LOS ANGELES,CA,Antelope Substation 220kV,SCE,Storage + Photovoltaic,650.0,,,2015-04-30 07:00:00,ACTIVE,2025-11-27 08:00:00,,,,Storage,Photovoltaic,,Battery,Solar,,358.88,423.0,,2015-04-30 00:00:00,Executed,C08,2018-12-31 08:00:00,Complete,Complete,,Full Capacity,Off-Peak Deliverability,
1212,GOLDEN FIELDS SOLAR,,KERN,CA,Whirlwind Substation 220kV ,SCE,Storage + Storage,100.0,,,2015-04-30 07:00:00,ACTIVE,2026-12-01 08:00:00,,,,Storage,Storage,,Battery,Battery,,52.0,48.0,,2015-04-30 00:00:00,Executed,C08,2018-06-30 07:00:00,Complete,Complete,,Full Capacity,Off-Peak Deliverability,
1217,WILLOW SPRINGS SOLAR 4,,KERN,CA,Whirlwind Substation 230kV,SCE,Storage,75.0,,,2015-04-30 07:00:00,ACTIVE,2026-06-01 07:00:00,,,,Storage,,,Battery,,,75.0,,,2015-04-28 00:00:00,Executed,C08,2019-12-31 08:00:00,Complete,Complete,,Full Capacity,Off-Peak Deliverability,
1222,AGUA CALIENTE SOLAR 2,,MARICOPA,AZ,Hoodoo Wash Switchyard 500 kV,SDGE,Photovoltaic,20.0,,,2016-03-08 08:00:00,ACTIVE,2016-12-01 08:00:00,,,,Photovoltaic,,,Solar,,,20.0,,,2016-03-01 00:00:00,,ISP,2016-12-01 08:00:00,Complete,Complete,,Energy Only,Off-Peak Energy Only,
1223,DAYLIGHT,,KINGS,CA,Mustang 230 kV,PGAE,Photovoltaic + Storage,300.0,,,2016-05-02 07:00:00,ACTIVE,2028-01-19 08:00:00,,,,Photovoltaic,Storage,,Solar,Battery,,310.707,300.0,,2016-04-22 00:00:00,Executed,C09,2020-12-31 08:00:00,Complete,Complete,,Partial Capacity,Off-Peak Deliverability,
1242,PLUOT,,KINGS,CA,Gates 230 kV,PGAE,Photovoltaic + Storage,246.4,,,2016-05-02 07:00:00,ACTIVE,2026-06-30 07:00:00,,,,Photovoltaic,Storage,,Solar,Battery,,246.4,225.0,,2016-05-03 00:00:00,Executed,C09,2023-04-05 07:00:00,Complete,Complete,,Partial Capacity,Off-Peak Deliverability,
1243,POMEGRANATE,,KINGS,CA,Gates 230 kV,PGAE,Photovoltaic + Storage,249.7,,,2016-05-02 07:00:00,ACTIVE,2027-12-31 08:00:00,,,,Photovoltaic,Storage,,Solar,Battery,,254.0,225.0,,2016-05-03 00:00:00,Executed,C09,2022-04-06 07:00:00,Complete,Complete,,Full Capacity,Off-Peak Deliverability,
1260,KYAN SOLAR,,KERN,CA,Midway-Wheeler Ridge #2 230 kV Line,PGAE,Photovoltaic,100.0,,,2016-05-02 07:00:00,ACTIVE,2027-03-02 08:00:00,,,,Photovoltaic,,,Solar,,,102.0,,,2016-04-27 00:00:00,Executed,C09,2020-10-14 07:00:00,Complete,Complete,,Energy Only,Off-Peak Deliverability,
1270,CORBY,,SOLANO,CA,Vaca-Dixon 230 kV,PGAE,Storage,300.0,,,2016-05-02 07:00:00,ACTIVE,2027-06-01 07:00:00,,,,Storage,,,Battery,,,313.5,,,2016-04-27 00:00:00,Executed,C09,2020-12-01 08:00:00,Complete,Complete,,Full Capacity,,
1277,MULQUEENEY RANCH WIND,,ALAMEDA,CA,Tesla 230 kV,PGAE,Wind Turbine,20.0,,,2016-05-02 07:00:00,ACTIVE,2026-06-01 07:00:00,,,,Wind Turbine,,,Wind Turbine,,,114.0,,,2016-05-02 00:00:00,Executed,C09,2020-03-01 08:00:00,Complete,Complete,,Full Capacity,Off-Peak Deliverability,
1314,DAGGETT SOLAR 3,,SAN BERNARDINO,CA,Kramer Substation 230kV,SCE,Photovoltaic + Storage,300.0,,,2016-05-02 07:00:00,ACTIVE,2023-08-06 07:00:00,,,,Photovoltaic,Storage,,Solar,Battery,,313.88,208.0,,2016-04-28 00:00:00,Executed,C09,2020-06-30 07:00:00,Complete,Complete,,Full Capacity,Off-Peak Deliverability,
1322,SOLAR STAR 3,,KERN,CA,Whirlwind Substation 230kV,SCE,Storage + Photovoltaic,24.0,,,2016-05-02 07:00:00,ACTIVE,2026-08-12 07:00:00,,,,Storage,Photovoltaic,,Battery,Solar,,24.95,25.0,,2016-04-25 00:00:00,Executed,C09,2021-12-31 08:00:00,Complete,Complete,,Full Capacity,Off-Peak Deliverability,
1323,SOLAR STAR 4,,KERN,CA,Whirlwind Substation 230kV,SCE,Storage + Photovoltaic,24.0,,,2016-05-02 07:00:00,ACTIVE,2026-08-12 07:00:00,,,,Storage,Photovoltaic,,Battery,Solar,,24.95,25.05,,2016-04-25 00:00:00,Executed,C09,2021-12-31 08:00:00,Complete,Complete,,Full Capacity,Off-Peak Deliverability,
1335,PASTORIA SOLAR,,KERN,CA,Pastoria Substation 230kV,SCE,Photovoltaic + Storage,105.2,,,2016-05-02 07:00:00,ACTIVE,2026-12-01 08:00:00,,,,Photovoltaic,Storage,,Solar,Battery,,106.875,80.0,,2016-05-02 00:00:00,Executed,C09,2019-09-01 07:00:00,Complete,Complete,,Partial Capacity,Off-Peak Deliverability,
1339,TAHOE,,CLARK,NV,SCE owned Eldorado Bus 230kV,SCE,Storage,300.0,,,2016-05-02 07:00:00,ACTIVE,2026-05-01 07:00:00,,,,Storage,,,Battery,,,300.0,,,2016-04-29 00:00:00,Executed,C09,2019-07-31 07:00:00,Complete,Complete,,Partial Capacity,Off-Peak Deliverability,
1347,ROCCASECCA BESS,,CLARK,NV,Sloan Canyon Switching Station 230kV,GLW,Storage,126.5934,,,2016-05-02 07:00:00,ACTIVE,2027-03-01 08:00:00,,,,Storage,,,Battery,,,126.5934,,,2016-05-02 00:00:00,Executed,C09,2019-07-31 07:00:00,Complete,Complete,,Full Capacity,Off-Peak Deliverability,
1349,ARAMIS POWER PLANT,,ALAMEDA,CA,Cayetano 230 kV,PGAE,Photovoltaic + Storage,100.0,,,2017-05-01 07:00:00,ACTIVE,2026-07-31 07:00:00,,,,Photovoltaic,Storage,,Solar,Battery,,101.4,101.3,,2017-04-28 00:00:00,Executed,C10,2020-12-31 08:00:00,Complete,Complete,,Full Capacity,Off-Peak Deliverability,
1363,SAND HILL C,,ALAMEDA,CA,Delta Switching Yard-Tesla 230 kV Line,PGAE,Wind Turbine,80.8,,,2017-05-01 07:00:00,ACTIVE,2027-04-28 07:00:00,,,,Wind Turbine,,,Wind Turbine,,,84.25,,,2017-04-29 00:00:00,Executed,C10,2019-12-31 08:00:00,Complete,Complete,,Full Capacity,Off-Peak Deliverability,
1378,GONZAGA WIND FARM,,MERCED,CA,Los Banos 70 kV,PGAE,Wind Turbine,76.35,,,2017-05-01 07:00:00,ACTIVE,2026-03-31 07:00:00,,,,Wind Turbine,,,Wind Turbine,,,80.0,,,2017-04-27 00:00:00,Executed,C10,2020-10-09 07:00:00,Complete,Complete,,Partial Capacity,Off-Peak Deliverability,
1379,HEARTLAND 1,,FRESNO,CA,Tranquility 230 kV,PGAE,Photovoltaic + Storage,150.0,,,2017-05-01 07:00:00,ACTIVE,2028-06-30 07:00:00,,,,Photovoltaic,Storage,,Solar,Battery,,156.04,72.27,,2017-04-26 00:00:00,Executed,C10,2021-09-01 07:00:00,Complete,Complete,,Partial Capacity,Off-Peak Deliverability,
1380,HEARTLAND 2,,FRESNO,CA,Tranquility 230 kV,PGAE,Photovoltaic + Storage,150.0,,,2017-05-01 07:00:00,ACTIVE,2028-06-30 07:00:00,,,,Photovoltaic,Storage,,Solar,Battery,,156.05,72.2932,,2017-04-26 00:00:00,Executed,C10,2021-09-01 07:00:00,Complete,Complete,,Partial Capacity,Off-Peak Deliverability,
